x	y	label	tooltip	clickSelects	showSelected1	group
2	-15.3	Area.Supervisor	0.124692034913475	Area.Supervisor	Self.assessment.practice.profile..SAPP.	53
2	-26.3	Area.Supervisor	0.0313271020975897	Area.Supervisor	Learning.module.materials..i.e..power.points..handouts.	54
2	-16.3	Area.Supervisor	0.13926743579448	Area.Supervisor	DESE.virtual.learning.platform	55
2	-16.3	Area.Supervisor	0.054297055222723	Area.Supervisor	Review.of.CFA.data	56
2	-13.3	Area.Supervisor	0.151378895288551	Area.Supervisor	CWIS	57
2	-16.3	Area.Supervisor	-0.0522757087111804	Area.Supervisor	Distance.Learning	58
2	-23.3	Area.Supervisor	-0.102960497822963	Area.Supervisor	Virtual.Learning.Modules.and.or.PowerPoints	59
2	-15.3	Area.Supervisor	-0.0379133944627952	Area.Supervisor	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	60
2	-28.3	Area.Supervisor	-0.0229115406732431	Area.Supervisor	Interaction.Type_Virtual	61
2	-27.3	Area.Supervisor	-0.056538139116322	Area.Supervisor	Interaction.Type_In-person	62
2	-8.3	Area.Supervisor	0.0934700309727916	Area.Supervisor	Interaction.Type_In-person and virtual	63
2	-20.3	Area.Supervisor	-0.0437937876087115	Area.Supervisor	Interaction.Type_Phone	64
2	-18.3	Area.Supervisor	0.0321973211159849	Area.Supervisor	Interaction.Type_Unknown	65
2	-22.3	Area.Supervisor	-0.0455689813332752	Area.Supervisor	ETLP_avg	66
2	-5.3	Building.Leadership.Team.Members	0.310027954686602	Building.Leadership.Team.Members	District.Leadership.Team.Members	67
2	-24.3	Building.Leadership.Team.Members	-0.0402347120935175	Building.Leadership.Team.Members	District.Contact.Person	68
2	-1.3	Building.Leadership.Team.Members	1	Building.Leadership.Team.Members	Building.Leadership.Team.Members	69
2	-7.3	Building.Leadership.Team.Members	0.163378562011628	Building.Leadership.Team.Members	Other.District.Administrators	70
2	-2.3	Building.Leadership.Team.Members	0.286742438641893	Building.Leadership.Team.Members	Other.Building.Administrators	71
2	-2.3	Building.Leadership.Team.Members	0.508382449405889	Building.Leadership.Team.Members	Building.level.Educators	72
2	-29.3	Building.Leadership.Team.Members	-0.00459506865672262	Building.Leadership.Team.Members	RPDC.Director	73
2	-26.3	Building.Leadership.Team.Members	0.0274107817619568	Building.Leadership.Team.Members	Area.Supervisor	74
2	-11.3	Building.Leadership.Team.Members	0.0408516670777968	Building.Leadership.Team.Members	Parents	75
2	-5.3	Building.Leadership.Team.Members	0.214702233314155	Building.Leadership.Team.Members	Collaborative.teams	76
2	-14.3	Building.Leadership.Team.Members	0.0843454631840821	Building.Leadership.Team.Members	Common.formative.assessment	77
2	-7.3	Building.Leadership.Team.Members	0.174942690540133	Building.Leadership.Team.Members	Data.based.decision.making	78
2	-3.3	Building.Leadership.Team.Members	0.365258971252958	Building.Leadership.Team.Members	Effective.teaching.learning.practices	79
2	-31.3	Building.Leadership.Team.Members	0.000825448648743978	Building.Leadership.Team.Members	Instructional.Leadership	80
2	-5.3	Building.Leadership.Team.Members	0.209286924659905	Building.Leadership.Team.Members	School.based.implementation.coaching	81
2	-17.3	Building.Leadership.Team.Members	0.0572764274822339	Building.Leadership.Team.Members	Collective.teacher.efficacy	82
2	-22.3	Building.Leadership.Team.Members	-0.0721885900381731	Building.Leadership.Team.Members	MMD.DCI.expectations.logistics.DESE.specifics	83
2	-16.3	Building.Leadership.Team.Members	0.0985848004300407	Building.Leadership.Team.Members	Alignment.and.systems.planning	84
2	-13.3	Building.Leadership.Team.Members	0.147157753335277	Building.Leadership.Team.Members	Practice.profiles	85
2	-13.3	Building.Leadership.Team.Members	0.149467278198617	Building.Leadership.Team.Members	Self.assessment.practice.profile..SAPP.	86
2	-17.3	Building.Leadership.Team.Members	0.0949160877319014	Building.Leadership.Team.Members	Learning.module.materials..i.e..power.points..handouts.	87
2	-29.3	Building.Leadership.Team.Members	0.0274617135323104	Building.Leadership.Team.Members	DESE.virtual.learning.platform	88
2	-13.3	Building.Leadership.Team.Members	0.0686821005462612	Building.Leadership.Team.Members	Review.of.CFA.data	89
2	-14.3	Building.Leadership.Team.Members	-0.150652208126521	Building.Leadership.Team.Members	CWIS	90
2	-11.3	Building.Leadership.Team.Members	-0.0741695076318769	Building.Leadership.Team.Members	Distance.Learning	91
2	-3.3	Building.Leadership.Team.Members	-0.298683803495861	Building.Leadership.Team.Members	Virtual.Learning.Modules.and.or.PowerPoints	92
2	-17.3	Building.Leadership.Team.Members	-0.0331765246944298	Building.Leadership.Team.Members	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	93
2	-26.3	Building.Leadership.Team.Members	-0.0279244902833498	Building.Leadership.Team.Members	Interaction.Type_Virtual	94
2	-6.3	Building.Leadership.Team.Members	0.220227272554304	Building.Leadership.Team.Members	Interaction.Type_In-person	95
2	-27.3	Building.Leadership.Team.Members	-0.0283279983226745	Building.Leadership.Team.Members	Interaction.Type_In-person and virtual	96
2	-15.3	Building.Leadership.Team.Members	-0.0656931811024129	Building.Leadership.Team.Members	Interaction.Type_Phone	97
2	-17.3	Building.Leadership.Team.Members	0.0327355820859228	Building.Leadership.Team.Members	Interaction.Type_Unknown	98
2	-31.3	Building.Leadership.Team.Members	0.00441566258138415	Building.Leadership.Team.Members	ETLP_avg	99
2	-10.3	Building.level.Educators	0.185005602171157	Building.level.Educators	District.Leadership.Team.Members	100
2	-15.3	Building.level.Educators	-0.123504624306458	Building.level.Educators	District.Contact.Person	101
2	-2.3	Building.level.Educators	0.508382449405889	Building.level.Educators	Building.Leadership.Team.Members	102
2	-27.3	Building.level.Educators	0.0152914606635158	Building.level.Educators	Other.District.Administrators	103
2	-3.3	Building.level.Educators	0.269139368436581	Building.level.Educators	Other.Building.Administrators	104
2	-1.3	Building.level.Educators	1	Building.level.Educators	Building.level.Educators	105
2	-7.3	Building.level.Educators	-0.190938466205656	Building.level.Educators	RPDC.Director	106
2	-31.3	Building.level.Educators	0.00408336322976758	Building.level.Educators	Area.Supervisor	107
2	-27.3	Building.level.Educators	-0.0110526305827624	Building.level.Educators	Parents	108
2	-19.3	Building.level.Educators	0.0468831707899001	Building.level.Educators	Collaborative.teams	109
2	-6.3	Building.level.Educators	0.147655060022446	Building.level.Educators	Common.formative.assessment	110
2	-12.3	Building.level.Educators	-0.116762735750008	Building.level.Educators	Data.based.decision.making	111
2	-2.3	Building.level.Educators	0.442671392927833	Building.level.Educators	Effective.teaching.learning.practices	112
2	-11.3	Building.level.Educators	-0.121668770542271	Building.level.Educators	Instructional.Leadership	113
2	-13.3	Building.level.Educators	0.0923178163381742	Building.level.Educators	School.based.implementation.coaching	114
2	-25.3	Building.level.Educators	-0.0313779647785543	Building.level.Educators	Collective.teacher.efficacy	115
2	-8.3	Building.level.Educators	-0.31002727621284	Building.level.Educators	MMD.DCI.expectations.logistics.DESE.specifics	116
2	-13.3	Building.level.Educators	-0.113362880788382	Building.level.Educators	Alignment.and.systems.planning	117
2	-18.3	Building.level.Educators	0.0948860229723482	Building.level.Educators	Practice.profiles	118
2	-17.3	Building.level.Educators	-0.10183848234504	Building.level.Educators	Self.assessment.practice.profile..SAPP.	119
2	-14.3	Building.level.Educators	0.118745942398162	Building.level.Educators	Learning.module.materials..i.e..power.points..handouts.	120
2	-10.3	Building.level.Educators	-0.224613618956607	Building.level.Educators	DESE.virtual.learning.platform	121
2	-27.3	Building.level.Educators	-0.028344347548717	Building.level.Educators	Review.of.CFA.data	122
2	-4.3	Building.level.Educators	-0.413596691609512	Building.level.Educators	CWIS	123
2	-7.3	Building.level.Educators	-0.0880453355211458	Building.level.Educators	Distance.Learning	124
2	-4.3	Building.level.Educators	-0.292780173614925	Building.level.Educators	Virtual.Learning.Modules.and.or.PowerPoints	125
2	-8.3	Building.level.Educators	-0.0724865976931578	Building.level.Educators	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	126
2	-20.3	Building.level.Educators	-0.0524781395079145	Building.level.Educators	Interaction.Type_Virtual	127
2	-12.3	Building.level.Educators	0.15861779180078	Building.level.Educators	Interaction.Type_In-person	128
2	-28.3	Building.level.Educators	-0.026722497384621	Building.level.Educators	Interaction.Type_In-person and virtual	129
2	-12.3	Building.level.Educators	-0.0866181426516918	Building.level.Educators	Interaction.Type_Phone	130
