group	fill	y	ymin	ymax	colour
1	#F9F5FF	19	18.5	19.5	#F9F5FF
2	#F3EAFF	12	11.5	12.5	#F3EAFF
3	#E9D9FF	6	5.5	6.5	#E9D9FF
4	#F2E8FF	11	10.5	11.5	#F2E8FF
5	#FFF6F2	17	16.5	17.5	#FFF6F2
6	#FAF6FF	20	19.5	20.5	#FAF6FF
7	#FFE1D7	7	6.5	7.5	#FFE1D7
8	#FFFCFA	27	26.5	27.5	#FFFCFA
9	#FFD7C9	5	4.5	5.5	#FFD7C9
10	#FEFDFF	29	28.5	29.5	#FEFDFF
11	#FFAA90	2	1.5	2.5	#FFAA90
12	#FFFFFF	30	29.5	30.5	#FFFFFF
13	#FBF8FF	24	23.5	24.5	#FBF8FF
14	#FCFAFF	26	25.5	26.5	#FCFAFF
15	#FEFCFF	28	27.5	28.5	#FEFCFF
16	#FBF7FF	23	22.5	23.5	#FBF7FF
17	#F9F4FF	18	17.5	18.5	#F9F4FF
18	#FFF5F2	16	15.5	16.5	#FFF5F2
19	#FFD1C1	3	2.5	3.5	#FFD1C1
20	#FFD1C2	4	3.5	4.5	#FFD1C2
21	#FFE9E1	9	8.5	9.5	#FFE9E1
22	#EADBFF	8	7.5	8.5	#EADBFF
23	#F1E7FF	10	9.5	10.5	#F1E7FF
24	#FAF6FF	21	20.5	21.5	#FAF6FF
25	#FFEEE7	13	12.5	13.5	#FFEEE7
26	#F7F1FF	15	14.5	15.5	#F7F1FF
27	#FBF8FF	25	24.5	25.5	#FBF8FF
28	#FFF8F5	22	21.5	22.5	#FFF8F5
29	#FFF2ED	14	13.5	14.5	#FFF2ED
30	#FF0000	1	0.5	1.5	#FF0000
