x	y	label	angle	showSelected1	showSelected2	group
0	0.5	Building.Leadership.Team.Members	90	Other.Building.Administrators	Building.Leadership.Team.Members	135
0	0.5	Building.Leadership.Team.Members	90	Building.level.Educators	Building.Leadership.Team.Members	168
0	0.5	Building.Leadership.Team.Members	90	RPDC.Director	Building.Leadership.Team.Members	201
0	0.5	Building.Leadership.Team.Members	90	Area.Supervisor	Building.Leadership.Team.Members	234
0	0.5	Building.Leadership.Team.Members	90	Parents	Building.Leadership.Team.Members	267
0	0.5	Building.Leadership.Team.Members	90	Collaborative.teams	Building.Leadership.Team.Members	300
0	0.5	Building.Leadership.Team.Members	90	Common.formative.assessment	Building.Leadership.Team.Members	333
0	0.5	Building.Leadership.Team.Members	90	Data.based.decision.making	Building.Leadership.Team.Members	366
0	0.5	Building.Leadership.Team.Members	90	Effective.teaching.learning.practices	Building.Leadership.Team.Members	399
0	0.5	Building.Leadership.Team.Members	90	Instructional.Leadership	Building.Leadership.Team.Members	432
0	0.5	Building.Leadership.Team.Members	90	School.based.implementation.coaching	Building.Leadership.Team.Members	465
0	0.5	Building.Leadership.Team.Members	90	Collective.teacher.efficacy	Building.Leadership.Team.Members	498
0	0.5	Building.Leadership.Team.Members	90	MMD.DCI.expectations.logistics.DESE.specifics	Building.Leadership.Team.Members	531
0	0.5	Building.Leadership.Team.Members	90	Alignment.and.systems.planning	Building.Leadership.Team.Members	564
0	0.5	Building.Leadership.Team.Members	90	Practice.profiles	Building.Leadership.Team.Members	597
0	0.5	Building.Leadership.Team.Members	90	Self.assessment.practice.profile..SAPP.	Building.Leadership.Team.Members	630
0	0.5	Building.Leadership.Team.Members	90	Learning.module.materials..i.e..power.points..handouts.	Building.Leadership.Team.Members	663
0	0.5	Building.Leadership.Team.Members	90	DESE.virtual.learning.platform	Building.Leadership.Team.Members	696
0	0.5	Building.Leadership.Team.Members	90	Review.of.CFA.data	Building.Leadership.Team.Members	729
0	0.5	Building.Leadership.Team.Members	90	CWIS	Building.Leadership.Team.Members	762
0	0.5	Building.Leadership.Team.Members	90	Distance.Learning	Building.Leadership.Team.Members	795
0	0.5	Building.Leadership.Team.Members	90	Virtual.Learning.Modules.and.or.PowerPoints	Building.Leadership.Team.Members	828
0	0.5	Building.Leadership.Team.Members	90	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Building.Leadership.Team.Members	861
0	0.5	Building.Leadership.Team.Members	90	Interaction.Type_Virtual	Building.Leadership.Team.Members	894
0	0.5	Building.Leadership.Team.Members	90	Interaction.Type_In-person	Building.Leadership.Team.Members	927
0	0.5	Building.Leadership.Team.Members	90	Interaction.Type_In-person and virtual	Building.Leadership.Team.Members	960
0	0.5	Building.Leadership.Team.Members	90	Interaction.Type_Phone	Building.Leadership.Team.Members	993
0	0.5	Building.Leadership.Team.Members	90	Interaction.Type_Unknown	Building.Leadership.Team.Members	1026
2.42857142857143	0.5	Building.Leadership.Team.Members	90	ETLP_avg	Building.Leadership.Team.Members	1059
0	0.5	Other.District.Administrators	90	District.Leadership.Team.Members	Other.District.Administrators	26
0	0.5	Other.District.Administrators	90	District.Contact.Person	Other.District.Administrators	59
0	0.5	Other.District.Administrators	90	Building.Leadership.Team.Members	Other.District.Administrators	92
0	0.5	Other.District.Administrators	90	Other.District.Administrators	Other.District.Administrators	125
0	0.5	Other.District.Administrators	90	Other.Building.Administrators	Other.District.Administrators	158
0	0.5	Other.District.Administrators	90	Building.level.Educators	Other.District.Administrators	191
0	0.5	Other.District.Administrators	90	RPDC.Director	Other.District.Administrators	224
0	0.5	Other.District.Administrators	90	Area.Supervisor	Other.District.Administrators	257
0	0.5	Other.District.Administrators	90	Parents	Other.District.Administrators	290
