group	fill	y	tooltip	ymin	ymax	colour
1	#FFC9B6	-9	0.283730047189656	-9.5	-8.5	#FFC9B6
2	#FFE1D6	-15	0.157457752756488	-15.5	-14.5	#FFE1D6
3	#E6D5FF	-11	-0.179396093270306	-11.5	-10.5	#E6D5FF
4	#C29FFF	-4	-0.411398718887527	-4.5	-3.5	#C29FFF
5	#FF0000	-1	1	-1.5	-0.5	#FF0000
6	#FAF7FF	-27	-0.0349601507731609	-27.5	-26.5	#FAF7FF
7	#FFF0EB	-20	0.0777123202126007	-20.5	-19.5	#FFF0EB
8	#FAF6FF	-26	-0.0376851742562059	-26.5	-25.5	#FAF6FF
9	#FFAE95	-3	0.419931987692063	-3.5	-2.5	#FFAE95
10	#FFF1EC	-21	0.0745385983924745	-21.5	-20.5	#FFF1EC
11	#F5EDFF	-22	-0.0741405606197416	-22.5	-21.5	#F5EDFF
12	#FFBBA5	-6	0.354849789991004	-6.5	-5.5	#FFBBA5
13	#FFE3D9	-16	0.147968367674476	-16.5	-15.5	#FFE3D9
14	#D6BCFF	-8	-0.28798297922948	-8.5	-7.5	#D6BCFF
15	#FFF5F2	-24	0.0513597814245792	-24.5	-23.5	#FFF5F2
16	#DFC9FF	-10	-0.230243213885995	-10.5	-9.5	#DFC9FF
17	#F8F3FF	-23	-0.0523306294031051	-23.5	-22.5	#F8F3FF
18	#E9D9FF	-13	-0.160749140809794	-13.5	-12.5	#E9D9FF
19	#FBF8FF	-28	-0.0282677945412899	-28.5	-27.5	#FBF8FF
20	#FFE7DE	-18	0.128319549841919	-18.5	-17.5	#FFE7DE
21	#FF997C	-2	0.523047183046563	-2.5	-1.5	#FF997C
22	#E9DAFF	-14	-0.158443162023793	-14.5	-13.5	#E9DAFF
23	#FFE5DC	-17	0.13445522955216	-17.5	-16.5	#FFE5DC
24	#FAF6FF	-25	-0.0381779687081505	-25.5	-24.5	#FAF6FF
25	#FFE0D4	-12	0.164620868446894	-12.5	-11.5	#FFE0D4
26	#FFC1AD	-7	0.321068769259612	-7.5	-6.5	#FFC1AD
27	#FFFEFF	-30	-0.00236346692071123	-30.5	-29.5	#FFFEFF
28	#FCFAFF	-29	-0.0199981111036554	-29.5	-28.5	#FCFAFF
29	#FFB198	-5	0.404224983808093	-5.5	-4.5	#FFB198
30	#FFE8DF	-19	0.121146596464923	-19.5	-18.5	#FFE8DF
