group	fill	y	ymin	ymax	colour
1	#F8F3FF	17	16.5	17.5	#F8F3FF
2	#FFF8F6	21	20.5	21.5	#FFF8F6
3	#FBF8FF	23	22.5	23.5	#FBF8FF
4	#F5EEFF	15	14.5	15.5	#F5EEFF
5	#FFF4F0	16	15.5	16.5	#FFF4F0
6	#FFD7C9	4	3.5	4.5	#FFD7C9
7	#FF0000	1	0.5	1.5	#FF0000
8	#FFE4DB	8	7.5	8.5	#FFE4DB
9	#FFE9E1	10	9.5	10.5	#FFE9E1
10	#FFDCD0	6	5.5	6.5	#FFDCD0
11	#FFBBA5	2	1.5	2.5	#FFBBA5
12	#FFF5F2	18	17.5	18.5	#FFF5F2
13	#FCFAFF	28	27.5	28.5	#FCFAFF
14	#FFECE5	13	12.5	13.5	#FFECE5
15	#FFEBE3	11	10.5	11.5	#FFEBE3
16	#F8F3FF	19	18.5	19.5	#F8F3FF
17	#FCF9FF	25	24.5	25.5	#FCF9FF
18	#FFFEFF	30	29.5	30.5	#FFFEFF
19	#FEFEFF	29	28.5	29.5	#FEFEFF
20	#FFECE4	12	11.5	12.5	#FFECE4
21	#FFDCD0	5	4.5	5.5	#FFDCD0
22	#FCFAFF	27	26.5	27.5	#FCFAFF
23	#FFF8F6	22	21.5	22.5	#FFF8F6
24	#FBF8FF	24	23.5	24.5	#FBF8FF
25	#FFE8E0	9	8.5	9.5	#FFE8E0
26	#F9F4FF	20	19.5	20.5	#F9F4FF
27	#FCFAFF	26	25.5	26.5	#FCFAFF
28	#FFCAB8	3	2.5	3.5	#FFCAB8
29	#FFECE6	14	13.5	14.5	#FFECE6
30	#FFE1D7	7	6.5	7.5	#FFE1D7
