group	fill	y	ymin	ymax	colour
1	#F1E7FF	18	17.5	18.5	#F1E7FF
2	#FDFBFF	30	29.5	30.5	#FDFBFF
3	#FFA084	2	1.5	2.5	#FFA084
4	#FF0000	1	0.5	1.5	#FF0000
5	#CCADFF	5	4.5	5.5	#CCADFF
6	#FFFAF8	28	27.5	28.5	#FFFAF8
7	#F5EEFF	21	20.5	21.5	#F5EEFF
8	#FFD3C3	7	6.5	7.5	#FFD3C3
9	#E7D6FF	11	10.5	11.5	#E7D6FF
10	#FBF8FF	27	26.5	27.5	#FBF8FF
11	#F6EFFF	22	21.5	22.5	#F6EFFF
12	#E6D4FF	10	9.5	10.5	#E6D4FF
13	#FFDACC	8	7.5	8.5	#FFDACC
14	#FFBAA4	4	3.5	4.5	#FFBAA4
15	#ECDEFF	15	14.5	15.5	#ECDEFF
16	#F6EFFF	23	22.5	23.5	#F6EFFF
17	#FAF5FF	25	24.5	25.5	#FAF5FF
18	#FFF0EB	20	19.5	20.5	#FFF0EB
19	#F1E7FF	17	16.5	17.5	#F1E7FF
20	#FFDFD4	12	11.5	12.5	#FFDFD4
21	#C8A7FF	3	2.5	3.5	#C8A7FF
22	#FFCAB8	6	5.5	6.5	#FFCAB8
23	#FCF9FF	29	28.5	29.5	#FCF9FF
24	#F8F3FF	24	23.5	24.5	#F8F3FF
25	#FFE9E1	16	15.5	16.5	#FFE9E1
26	#E6D4FF	9	8.5	9.5	#E6D4FF
27	#FFE0D5	13	12.5	13.5	#FFE0D5
28	#FFF8F5	26	25.5	26.5	#FFF8F5
29	#EBDCFF	14	13.5	14.5	#EBDCFF
30	#F2E8FF	19	18.5	19.5	#F2E8FF
