group	fill	y	ymin	ymax	colour
1	#FFCCBA	3	2.5	3.5	#FFCCBA
2	#FFF3EF	17	16.5	17.5	#FFF3EF
3	#FFFEFD	28	27.5	28.5	#FFFEFD
4	#ECDEFF	7	6.5	7.5	#ECDEFF
5	#FFF3EE	16	15.5	16.5	#FFF3EE
6	#FFDDD1	6	5.5	6.5	#FFDDD1
7	#FFEBE3	10	9.5	10.5	#FFEBE3
8	#FFF8F5	19	18.5	19.5	#FFF8F5
9	#FFE9E1	9	8.5	9.5	#FFE9E1
10	#FFD9CB	5	4.5	5.5	#FFD9CB
11	#FDFBFF	23	22.5	23.5	#FDFBFF
12	#FFFAF9	21	20.5	21.5	#FFFAF9
13	#FFFDFD	26	25.5	26.5	#FFFDFD
14	#FCF9FF	20	19.5	20.5	#FCF9FF
15	#FF0000	1	0.5	1.5	#FF0000
16	#FFF1EC	14	13.5	14.5	#FFF1EC
17	#FDFCFF	24	23.5	24.5	#FDFCFF
18	#FEFEFF	30	29.5	30.5	#FEFEFF
19	#FFCBB9	2	1.5	2.5	#FFCBB9
20	#FFE9E1	8	7.5	8.5	#FFE9E1
21	#FFEEE7	12	11.5	12.5	#FFEEE7
22	#FCF9FF	22	21.5	22.5	#FCF9FF
23	#FFFEFD	29	28.5	29.5	#FFFEFD
24	#FFF0EB	13	12.5	13.5	#FFF0EB
25	#FFF2ED	15	14.5	15.5	#FFF2ED
26	#FFEDE6	11	10.5	11.5	#FFEDE6
27	#FFF3EF	18	17.5	18.5	#FFF3EF
28	#FFD2C2	4	3.5	4.5	#FFD2C2
29	#FEFDFF	27	26.5	27.5	#FEFDFF
30	#FEFCFF	25	24.5	25.5	#FEFCFF
