group	fill	y	ymin	ymax	colour
1	#FFDED2	2	1.5	2.5	#FFDED2
2	#FF0000	1	0.5	1.5	#FF0000
3	#FDFCFF	22	21.5	22.5	#FDFCFF
4	#FDFBFF	21	20.5	21.5	#FDFBFF
5	#FFE5DB	4	3.5	4.5	#FFE5DB
6	#FCFAFF	20	19.5	20.5	#FCFAFF
7	#FFF8F6	15	14.5	15.5	#FFF8F6
8	#FBF8FF	19	18.5	19.5	#FBF8FF
9	#FFE7DE	5	4.5	5.5	#FFE7DE
10	#FFFDFC	24	23.5	24.5	#FFFDFC
11	#F9F5FF	13	12.5	13.5	#F9F5FF
12	#FFF4F0	12	11.5	12.5	#FFF4F0
13	#FFFFFF	30	29.5	30.5	#FFFFFF
14	#FEFEFF	29	28.5	29.5	#FEFEFF
15	#FFF3EF	11	10.5	11.5	#FFF3EF
16	#FEFDFF	25	24.5	25.5	#FEFDFF
17	#FEFDFF	26	25.5	26.5	#FEFDFF
18	#FEFEFF	28	27.5	28.5	#FEFEFF
19	#FAF6FF	16	15.5	16.5	#FAF6FF
20	#FFEFE8	10	9.5	10.5	#FFEFE8
21	#FFEAE2	7	6.5	7.5	#FFEAE2
22	#FFDFD4	3	2.5	3.5	#FFDFD4
23	#FFF8F5	14	13.5	14.5	#FFF8F5
24	#FFFEFD	27	26.5	27.5	#FFFEFD
25	#FBF7FF	18	17.5	18.5	#FBF7FF
26	#FFE9E1	6	5.5	6.5	#FFE9E1
27	#FFFDFC	23	22.5	23.5	#FFFDFC
28	#FFF8F6	17	16.5	17.5	#FFF8F6
29	#FFEBE3	8	7.5	8.5	#FFEBE3
30	#F3EAFF	9	8.5	9.5	#F3EAFF
