group	fill	y	ymin	ymax	colour
1	#F1E6FF	14	13.5	14.5	#F1E6FF
2	#FFDFD4	7	6.5	7.5	#FFDFD4
3	#FFCAB8	3	2.5	3.5	#FFCAB8
4	#FFCAB8	2	1.5	2.5	#FFCAB8
5	#F1E6FF	13	12.5	13.5	#F1E6FF
6	#FFF9F7	24	23.5	24.5	#FFF9F7
7	#FCFAFF	28	27.5	28.5	#FCFAFF
8	#FFE8DF	10	9.5	10.5	#FFE8DF
9	#EFE3FF	11	10.5	11.5	#EFE3FF
10	#FFF6F2	20	19.5	20.5	#FFF6F2
11	#F5EDFF	15	14.5	15.5	#F5EDFF
12	#E3D0FF	4	3.5	4.5	#E3D0FF
13	#FFF3EF	17	16.5	17.5	#FFF3EF
14	#FFEAE3	12	11.5	12.5	#FFEAE3
15	#FCF9FF	27	26.5	27.5	#FCF9FF
16	#FEFDFF	29	28.5	29.5	#FEFDFF
17	#FFF9F7	25	24.5	25.5	#FFF9F7
18	#FFFAF8	26	25.5	26.5	#FFFAF8
19	#F7F1FF	18	17.5	18.5	#F7F1FF
20	#FFF6F2	19	18.5	19.5	#FFF6F2
21	#E4D1FF	5	4.5	5.5	#E4D1FF
22	#FF0000	1	0.5	1.5	#FF0000
23	#FFDFD3	6	5.5	6.5	#FFDFD3
24	#FFFFFE	30	29.5	30.5	#FFFFFE
25	#FFF7F3	22	21.5	22.5	#FFF7F3
26	#FBF7FF	23	22.5	23.5	#FBF7FF
27	#FFE7DE	9	8.5	9.5	#FFE7DE
28	#F5EEFF	16	15.5	16.5	#F5EEFF
29	#F9F4FF	21	20.5	21.5	#F9F4FF
30	#EADBFF	8	7.5	8.5	#EADBFF
