group	fill	y	ymin	ymax	colour
1	#FCF9FF	23	22.5	23.5	#FCF9FF
2	#FBF8FF	21	20.5	21.5	#FBF8FF
3	#FFE9E1	11	10.5	11.5	#FFE9E1
4	#FFD3C3	5	4.5	5.5	#FFD3C3
5	#F1E7FF	13	12.5	13.5	#F1E7FF
6	#FFBDA8	3	2.5	3.5	#FFBDA8
7	#FFE4DB	7	6.5	7.5	#FFE4DB
8	#FF0000	1	0.5	1.5	#FF0000
9	#FFF2ED	16	15.5	16.5	#FFF2ED
10	#FFD0BF	4	3.5	4.5	#FFD0BF
11	#FFEDE6	14	13.5	14.5	#FFEDE6
12	#ECDEFF	6	5.5	6.5	#ECDEFF
13	#FEFDFF	30	29.5	30.5	#FEFDFF
14	#FDFBFF	25	24.5	25.5	#FDFBFF
15	#FFF8F5	18	17.5	18.5	#FFF8F5
16	#FFFDFC	28	27.5	28.5	#FFFDFC
17	#FFFDFD	29	28.5	29.5	#FFFDFD
18	#FFE9E1	12	11.5	12.5	#FFE9E1
19	#FCFAFF	24	23.5	24.5	#FCFAFF
20	#FFE8E0	10	9.5	10.5	#FFE8E0
21	#F2E9FF	15	14.5	15.5	#F2E9FF
22	#FFE8DF	9	8.5	9.5	#FFE8DF
23	#FBF8FF	22	21.5	22.5	#FBF8FF
24	#FAF7FF	19	18.5	19.5	#FAF7FF
25	#FFFCFB	27	26.5	27.5	#FFFCFB
26	#F8F3FF	17	16.5	17.5	#F8F3FF
27	#FFBBA5	2	1.5	2.5	#FFBBA5
28	#FFE5DC	8	7.5	8.5	#FFE5DC
29	#FBF7FF	20	19.5	20.5	#FBF7FF
30	#FFFCFA	26	25.5	26.5	#FFFCFA
