group	fill	y	ymin	ymax	colour
1	#F0E4FF	10	9.5	10.5	#F0E4FF
2	#FEFEFF	28	27.5	28.5	#FEFEFF
3	#FFF1EC	15	14.5	15.5	#FFF1EC
4	#FFF0EB	13	12.5	13.5	#FFF0EB
5	#EADAFF	4	3.5	4.5	#EADAFF
6	#FEFDFF	25	24.5	25.5	#FEFDFF
7	#FFFEFF	30	29.5	30.5	#FFFEFF
8	#FFE9E1	9	8.5	9.5	#FFE9E1
9	#EEE1FF	7	6.5	7.5	#EEE1FF
10	#FFF8F5	20	19.5	20.5	#FFF8F5
11	#FFFEFD	26	25.5	26.5	#FFFEFD
12	#E1CCFF	2	1.5	2.5	#E1CCFF
13	#EDDFFF	5	4.5	5.5	#EDDFFF
14	#FFFEFE	29	28.5	29.5	#FFFEFE
15	#FEFEFF	27	26.5	27.5	#FEFEFF
16	#FFEEE8	11	10.5	11.5	#FFEEE8
17	#FDFBFF	23	22.5	23.5	#FDFBFF
18	#FF0000	1	0.5	1.5	#FF0000
19	#FFFAF8	22	21.5	22.5	#FFFAF8
20	#F9F4FF	19	18.5	19.5	#F9F4FF
21	#E9D9FF	3	2.5	3.5	#E9D9FF
22	#FFFAF8	21	20.5	21.5	#FFFAF8
23	#F4ECFF	12	11.5	12.5	#F4ECFF
24	#FDFCFF	24	23.5	24.5	#FDFCFF
25	#EDE0FF	6	5.5	6.5	#EDE0FF
26	#F5EEFF	14	13.5	14.5	#F5EEFF
27	#FFF5F1	17	16.5	17.5	#FFF5F1
28	#F6EEFF	16	15.5	16.5	#F6EEFF
29	#EEE1FF	8	7.5	8.5	#EEE1FF
30	#FFF5F2	18	17.5	18.5	#FFF5F2
