group	fill	y	ymin	ymax	colour
1	#FFF9F7	22	21.5	22.5	#FFF9F7
2	#FEFEFF	30	29.5	30.5	#FEFEFF
3	#FFB59E	2	1.5	2.5	#FFB59E
4	#FFBAA4	3	2.5	3.5	#FFBAA4
5	#EEE1FF	10	9.5	10.5	#EEE1FF
6	#FFEEE7	14	13.5	14.5	#FFEEE7
7	#FFECE5	13	12.5	13.5	#FFECE5
8	#FDFBFF	28	27.5	28.5	#FDFBFF
9	#FFFAF9	25	24.5	25.5	#FFFAF9
10	#FFF2ED	19	18.5	19.5	#FFF2ED
11	#FFE1D6	7	6.5	7.5	#FFE1D6
12	#F6EEFF	18	17.5	18.5	#F6EEFF
13	#FFD7C8	6	5.5	6.5	#FFD7C8
14	#FF0000	1	0.5	1.5	#FF0000
15	#FCF9FF	24	23.5	24.5	#FCF9FF
16	#FBF8FF	23	22.5	23.5	#FBF8FF
17	#FFFBFA	27	26.5	27.5	#FFFBFA
18	#FFFEFE	29	28.5	29.5	#FFFEFE
19	#F4ECFF	16	15.5	16.5	#F4ECFF
20	#FFEAE2	11	10.5	11.5	#FFEAE2
21	#EDE0FF	9	8.5	9.5	#EDE0FF
22	#FFEAE3	12	11.5	12.5	#FFEAE3
23	#FFF1EC	17	16.5	17.5	#FFF1EC
24	#FFF7F4	21	20.5	21.5	#FFF7F4
25	#FFD5C6	5	4.5	5.5	#FFD5C6
26	#F8F3FF	20	19.5	20.5	#F8F3FF
27	#F4ECFF	15	14.5	15.5	#F4ECFF
28	#FFD1C1	4	3.5	4.5	#FFD1C1
29	#FFE3D9	8	7.5	8.5	#FFE3D9
30	#FCFAFF	26	25.5	26.5	#FCFAFF
