group	fill	y	ymin	ymax	colour
1	#FFF7F4	23	22.5	23.5	#FFF7F4
2	#FDFCFF	28	27.5	28.5	#FDFCFF
3	#FF0000	1	0.5	1.5	#FF0000
4	#FFA084	2	1.5	2.5	#FFA084
5	#EBDCFF	14	13.5	14.5	#EBDCFF
6	#FFD1C1	6	5.5	6.5	#FFD1C1
7	#FBF8FF	24	23.5	24.5	#FBF8FF
8	#FFE9E1	16	15.5	16.5	#FFE9E1
9	#FFFDFD	29	28.5	29.5	#FFFDFD
10	#FFD8CA	7	6.5	7.5	#FFD8CA
11	#F7F0FF	20	19.5	20.5	#F7F0FF
12	#EBDCFF	13	12.5	13.5	#EBDCFF
13	#FFB8A1	4	3.5	4.5	#FFB8A1
14	#FFB59E	3	2.5	3.5	#FFB59E
15	#FFFEFD	30	29.5	30.5	#FFFEFD
16	#FCFAFF	25	24.5	25.5	#FCFAFF
17	#FFF7F4	22	21.5	22.5	#FFF7F4
18	#FFF1EC	19	18.5	19.5	#FFF1EC
19	#F8F2FF	21	20.5	21.5	#F8F2FF
20	#FFEDE6	18	17.5	18.5	#FFEDE6
21	#E9D9FF	10	9.5	10.5	#E9D9FF
22	#FFCAB8	5	4.5	5.5	#FFCAB8
23	#FFE8DF	15	14.5	15.5	#FFE8DF
24	#FFFCFB	27	26.5	27.5	#FFFCFB
25	#FFE1D6	12	11.5	12.5	#FFE1D6
26	#FFFCFB	26	25.5	26.5	#FFFCFB
27	#FFDDD2	8	7.5	8.5	#FFDDD2
28	#FFDFD4	9	8.5	9.5	#FFDFD4
29	#FFEBE4	17	16.5	17.5	#FFEBE4
30	#E9D9FF	11	10.5	11.5	#E9D9FF
