x	y	label	showSelected1	showSelected2	group
0.5	0	Other.Building.Administrators	Other.Building.Administrators	Building.Leadership.Team.Members	135
0.5	0	Building.level.Educators	Building.level.Educators	Building.Leadership.Team.Members	168
0.5	0	RPDC.Director	RPDC.Director	Building.Leadership.Team.Members	201
0.25	0	Area.Supervisor	Area.Supervisor	Building.Leadership.Team.Members	234
0.0833333333333335	0	Parents	Parents	Building.Leadership.Team.Members	267
0.5	0	Collaborative.teams	Collaborative.teams	Building.Leadership.Team.Members	300
0.5	0	Common.formative.assessment	Common.formative.assessment	Building.Leadership.Team.Members	333
0.5	0	Data.based.decision.making	Data.based.decision.making	Building.Leadership.Team.Members	366
0.5	0	Effective.teaching.learning.practices	Effective.teaching.learning.practices	Building.Leadership.Team.Members	399
0.5	0	Instructional.Leadership	Instructional.Leadership	Building.Leadership.Team.Members	432
0.5	0	School.based.implementation.coaching	School.based.implementation.coaching	Building.Leadership.Team.Members	465
0.25	0	Collective.teacher.efficacy	Collective.teacher.efficacy	Building.Leadership.Team.Members	498
0.5	0	MMD.DCI.expectations.logistics.DESE.specifics	MMD.DCI.expectations.logistics.DESE.specifics	Building.Leadership.Team.Members	531
0.5	0	Alignment.and.systems.planning	Alignment.and.systems.planning	Building.Leadership.Team.Members	564
0.5	0	Practice.profiles	Practice.profiles	Building.Leadership.Team.Members	597
0.5	0	Self.assessment.practice.profile..SAPP.	Self.assessment.practice.profile..SAPP.	Building.Leadership.Team.Members	630
0.5	0	Learning.module.materials..i.e..power.points..handouts.	Learning.module.materials..i.e..power.points..handouts.	Building.Leadership.Team.Members	663
0.5	0	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Building.Leadership.Team.Members	696
0.5	0	Review.of.CFA.data	Review.of.CFA.data	Building.Leadership.Team.Members	729
0.5	0	CWIS	CWIS	Building.Leadership.Team.Members	762
0.375	0	Distance.Learning	Distance.Learning	Building.Leadership.Team.Members	795
0.5	0	Virtual.Learning.Modules.and.or.PowerPoints	Virtual.Learning.Modules.and.or.PowerPoints	Building.Leadership.Team.Members	828
0.25	0	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Building.Leadership.Team.Members	861
31	0	Interaction.Type_Virtual	Interaction.Type_Virtual	Building.Leadership.Team.Members	894
58.5	0	Interaction.Type_In-person	Interaction.Type_In-person	Building.Leadership.Team.Members	927
3	0	Interaction.Type_In-person and virtual	Interaction.Type_In-person and virtual	Building.Leadership.Team.Members	960
3.5	0	Interaction.Type_Phone	Interaction.Type_Phone	Building.Leadership.Team.Members	993
1	0	Interaction.Type_Unknown	Interaction.Type_Unknown	Building.Leadership.Team.Members	1026
3.71428571428572	0	ETLP_avg	ETLP_avg	Building.Leadership.Team.Members	1059
0.5	0	District.Leadership.Team.Members	District.Leadership.Team.Members	Other.District.Administrators	26
0.5	0	District.Contact.Person	District.Contact.Person	Other.District.Administrators	59
0.5	0	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Other.District.Administrators	92
0.5	0	Other.District.Administrators	Other.District.Administrators	Other.District.Administrators	125
0.5	0	Other.Building.Administrators	Other.Building.Administrators	Other.District.Administrators	158
0.5	0	Building.level.Educators	Building.level.Educators	Other.District.Administrators	191
0.5	0	RPDC.Director	RPDC.Director	Other.District.Administrators	224
0.25	0	Area.Supervisor	Area.Supervisor	Other.District.Administrators	257
0.0833333333333335	0	Parents	Parents	Other.District.Administrators	290
0.5	0	Collaborative.teams	Collaborative.teams	Other.District.Administrators	323
0.5	0	Common.formative.assessment	Common.formative.assessment	Other.District.Administrators	356
0.5	0	Data.based.decision.making	Data.based.decision.making	Other.District.Administrators	389
0.5	0	Effective.teaching.learning.practices	Effective.teaching.learning.practices	Other.District.Administrators	422
0.5	0	Instructional.Leadership	Instructional.Leadership	Other.District.Administrators	455
0.5	0	School.based.implementation.coaching	School.based.implementation.coaching	Other.District.Administrators	488
0.25	0	Collective.teacher.efficacy	Collective.teacher.efficacy	Other.District.Administrators	521
0.5	0	MMD.DCI.expectations.logistics.DESE.specifics	MMD.DCI.expectations.logistics.DESE.specifics	Other.District.Administrators	554
0.5	0	Alignment.and.systems.planning	Alignment.and.systems.planning	Other.District.Administrators	587
0.5	0	Practice.profiles	Practice.profiles	Other.District.Administrators	620
0.5	0	Self.assessment.practice.profile..SAPP.	Self.assessment.practice.profile..SAPP.	Other.District.Administrators	653
0.5	0	Learning.module.materials..i.e..power.points..handouts.	Learning.module.materials..i.e..power.points..handouts.	Other.District.Administrators	686
0.5	0	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Other.District.Administrators	719
0.5	0	Review.of.CFA.data	Review.of.CFA.data	Other.District.Administrators	752
0.5	0	CWIS	CWIS	Other.District.Administrators	785
0.375	0	Distance.Learning	Distance.Learning	Other.District.Administrators	818
0.5	0	Virtual.Learning.Modules.and.or.PowerPoints	Virtual.Learning.Modules.and.or.PowerPoints	Other.District.Administrators	851
0.25	0	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Other.District.Administrators	884
31	0	Interaction.Type_Virtual	Interaction.Type_Virtual	Other.District.Administrators	917
58.5	0	Interaction.Type_In-person	Interaction.Type_In-person	Other.District.Administrators	950
3	0	Interaction.Type_In-person and virtual	Interaction.Type_In-person and virtual	Other.District.Administrators	983
3.5	0	Interaction.Type_Phone	Interaction.Type_Phone	Other.District.Administrators	1016
1	0	Interaction.Type_Unknown	Interaction.Type_Unknown	Other.District.Administrators	1049
3.71428571428572	0	ETLP_avg	ETLP_avg	Other.District.Administrators	1082
0.5	0	District.Leadership.Team.Members	District.Leadership.Team.Members	Other.Building.Administrators	25
0.5	0	District.Contact.Person	District.Contact.Person	Other.Building.Administrators	58
0.5	0	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Other.Building.Administrators	91
0.5	0	Other.District.Administrators	Other.District.Administrators	Other.Building.Administrators	124
0.5	0	Other.Building.Administrators	Other.Building.Administrators	Other.Building.Administrators	157
0.5	0	Building.level.Educators	Building.level.Educators	Other.Building.Administrators	190
0.5	0	RPDC.Director	RPDC.Director	Other.Building.Administrators	223
0.25	0	Area.Supervisor	Area.Supervisor	Other.Building.Administrators	256
0.0833333333333335	0	Parents	Parents	Other.Building.Administrators	289
0.5	0	Collaborative.teams	Collaborative.teams	Other.Building.Administrators	322
0.5	0	Common.formative.assessment	Common.formative.assessment	Other.Building.Administrators	355
0.5	0	Data.based.decision.making	Data.based.decision.making	Other.Building.Administrators	388
0.5	0	Effective.teaching.learning.practices	Effective.teaching.learning.practices	Other.Building.Administrators	421
0.5	0	Instructional.Leadership	Instructional.Leadership	Other.Building.Administrators	454
0.5	0	School.based.implementation.coaching	School.based.implementation.coaching	Other.Building.Administrators	487
0.25	0	Collective.teacher.efficacy	Collective.teacher.efficacy	Other.Building.Administrators	520
0.5	0	MMD.DCI.expectations.logistics.DESE.specifics	MMD.DCI.expectations.logistics.DESE.specifics	Other.Building.Administrators	553
0.5	0	Alignment.and.systems.planning	Alignment.and.systems.planning	Other.Building.Administrators	586
0.5	0	Practice.profiles	Practice.profiles	Other.Building.Administrators	619
0.5	0	Self.assessment.practice.profile..SAPP.	Self.assessment.practice.profile..SAPP.	Other.Building.Administrators	652
0.5	0	Learning.module.materials..i.e..power.points..handouts.	Learning.module.materials..i.e..power.points..handouts.	Other.Building.Administrators	685
0.5	0	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Other.Building.Administrators	718
0.5	0	Review.of.CFA.data	Review.of.CFA.data	Other.Building.Administrators	751
0.5	0	CWIS	CWIS	Other.Building.Administrators	784
0.375	0	Distance.Learning	Distance.Learning	Other.Building.Administrators	817
0.5	0	Virtual.Learning.Modules.and.or.PowerPoints	Virtual.Learning.Modules.and.or.PowerPoints	Other.Building.Administrators	850
0.25	0	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Other.Building.Administrators	883
31	0	Interaction.Type_Virtual	Interaction.Type_Virtual	Other.Building.Administrators	916
58.5	0	Interaction.Type_In-person	Interaction.Type_In-person	Other.Building.Administrators	949
3	0	Interaction.Type_In-person and virtual	Interaction.Type_In-person and virtual	Other.Building.Administrators	982
3.5	0	Interaction.Type_Phone	Interaction.Type_Phone	Other.Building.Administrators	1015
1	0	Interaction.Type_Unknown	Interaction.Type_Unknown	Other.Building.Administrators	1048
3.71428571428572	0	ETLP_avg	ETLP_avg	Other.Building.Administrators	1081
0.5	0	District.Leadership.Team.Members	District.Leadership.Team.Members	Building.level.Educators	4
0.5	0	District.Contact.Person	District.Contact.Person	Building.level.Educators	37
