group	fill	y	tooltip	ymin	ymax	colour
1	#FBF7FF	-28	-0.0334211554857197	-28.5	-27.5	#FBF7FF
2	#F9F4FF	-22	-0.0455689813332752	-22.5	-21.5	#F9F4FF
3	#FFFEFE	-31	0.00441566258138415	-31.5	-30.5	#FFFEFE
4	#F3EAFF	-11	-0.0869287023006129	-11.5	-10.5	#F3EAFF
5	#DCC5FF	-3	-0.248568155636301	-3.5	-2.5	#DCC5FF
6	#F2E9FF	-10	-0.0937383093749676	-10.5	-9.5	#F2E9FF
7	#F9F5FF	-24	-0.0438163092078191	-24.5	-23.5	#F9F5FF
8	#EDE0FF	-5	-0.131014808931136	-5.5	-4.5	#EDE0FF
9	#F0E5FF	-7	-0.111971356526011	-7.5	-6.5	#F0E5FF
10	#FFF6F3	-23	0.0454480455477275	-23.5	-22.5	#FFF6F3
11	#FFF6F2	-20	0.0498864838068653	-20.5	-19.5	#FFF6F2
12	#F2E9FF	-9	-0.094258448461574	-9.5	-8.5	#F2E9FF
13	#F5EDFF	-17	-0.0764057897887829	-17.5	-16.5	#F5EDFF
14	#FFD8CA	-4	0.205283179948418	-4.5	-3.5	#FFD8CA
15	#FFE8E0	-6	0.120716304644502	-6.5	-5.5	#FFE8E0
16	#FFF0EA	-14	0.0807607164317481	-14.5	-13.5	#FFF0EA
17	#FFF8F5	-25	0.0391918172923724	-25.5	-24.5	#FFF8F5
18	#FFEFEA	-13	0.0817884663223499	-13.5	-12.5	#FFEFEA
19	#FFFCFB	-29	0.0157405808491183	-29.5	-28.5	#FFFCFB
20	#F2E8FF	-8	-0.0972282802414153	-8.5	-7.5	#F2E8FF
21	#F5EDFF	-16	-0.0764553876220892	-16.5	-15.5	#F5EDFF
22	#F3EBFF	-12	-0.0863600919094177	-12.5	-11.5	#F3EBFF
23	#FAF6FF	-27	-0.0361585642550568	-27.5	-26.5	#FAF6FF
24	#FFF2EE	-18	0.066013844810151	-18.5	-17.5	#FFF2EE
25	#FAF6FF	-26	-0.0372206855982875	-26.5	-25.5	#FAF6FF
26	#F4ECFF	-15	-0.079785573531521	-15.5	-14.5	#F4ECFF
27	#FFF6F2	-21	0.0481176373285158	-21.5	-20.5	#FFF6F2
28	#FFC8B5	-2	0.287273941950893	-2.5	-1.5	#FFC8B5
29	#F6F0FF	-19	-0.0654253909369353	-19.5	-18.5	#F6F0FF
30	#FFFDFC	-30	0.0121073713870386	-30.5	-29.5	#FFFDFC
31	#FF0000	-1	1	-1.5	-0.5	#FF0000
