group	fill	y	ymin	ymax	colour
1	#FFD7C9	8	7.5	8.5	#FFD7C9
2	#FFF4F0	24	23.5	24.5	#FFF4F0
3	#EBDCFF	14	13.5	14.5	#EBDCFF
4	#E6D4FF	10	9.5	10.5	#E6D4FF
5	#FFBBA5	2	1.5	2.5	#FFBBA5
6	#EFE4FF	17	16.5	17.5	#EFE4FF
7	#FFF5F2	25	24.5	25.5	#FFF5F2
8	#ECDEFF	15	14.5	15.5	#ECDEFF
9	#FFC9B6	4	3.5	4.5	#FFC9B6
10	#F4ECFF	20	19.5	20.5	#F4ECFF
11	#FFECE6	19	18.5	19.5	#FFECE6
12	#FF0000	1	0.5	1.5	#FF0000
13	#FFCFBE	5	4.5	5.5	#FFCFBE
14	#F6EEFF	22	21.5	22.5	#F6EEFF
15	#FFFAF9	28	27.5	28.5	#FFFAF9
16	#EADBFF	13	12.5	13.5	#EADBFF
17	#E7D6FF	11	10.5	11.5	#E7D6FF
18	#E1CCFF	7	6.5	7.5	#E1CCFF
19	#FFE6DC	16	15.5	16.5	#FFE6DC
20	#FFF6F2	26	25.5	26.5	#FFF6F2
21	#FFBBA5	3	2.5	3.5	#FFBBA5
22	#E3D0FF	9	8.5	9.5	#E3D0FF
23	#FFF4EF	23	22.5	23.5	#FFF4EF
24	#F6EEFF	21	20.5	21.5	#F6EEFF
25	#FFE1D6	12	11.5	12.5	#FFE1D6
26	#FFFEFE	29	28.5	29.5	#FFFEFE
27	#F0E5FF	18	17.5	18.5	#F0E5FF
28	#FFFAF8	27	26.5	27.5	#FFFAF8
29	#FFD2C3	6	5.5	6.5	#FFD2C3
30	#FFFFFF	30	29.5	30.5	#FFFFFF
