group	fill	y	ymin	ymax	colour
1	#FF0000	1	0.5	1.5	#FF0000
2	#FFDED2	9	8.5	9.5	#FFDED2
3	#FFF7F4	24	23.5	24.5	#FFF7F4
4	#F1E7FF	15	14.5	15.5	#F1E7FF
5	#FFC6B2	4	3.5	4.5	#FFC6B2
6	#FFF5F1	20	19.5	20.5	#FFF5F1
7	#F8F3FF	21	20.5	21.5	#F8F3FF
8	#FCF9FF	28	27.5	28.5	#FCF9FF
9	#FFC4B0	3	2.5	3.5	#FFC4B0
10	#FFF4F0	19	18.5	19.5	#FFF4F0
11	#FFFBF9	29	28.5	29.5	#FFFBF9
12	#FFD7C9	8	7.5	8.5	#FFD7C9
13	#FFE2D8	10	9.5	10.5	#FFE2D8
14	#FFF9F7	25	24.5	25.5	#FFF9F7
15	#FFCCBA	5	4.5	5.5	#FFCCBA
16	#FBF8FF	26	25.5	26.5	#FBF8FF
17	#FFFAF8	27	26.5	27.5	#FFFAF8
18	#F0E4FF	13	12.5	13.5	#F0E4FF
19	#FFE5DB	12	11.5	12.5	#FFE5DB
20	#FFF2ED	18	17.5	18.5	#FFF2ED
21	#FFC0AB	2	1.5	2.5	#FFC0AB
22	#F1E6FF	14	13.5	14.5	#F1E6FF
23	#FFE4DA	11	10.5	11.5	#FFE4DA
24	#FFEDE6	17	16.5	17.5	#FFEDE6
25	#FFF6F3	22	21.5	22.5	#FFF6F3
26	#FFD1C1	6	5.5	6.5	#FFD1C1
27	#FEFEFF	30	29.5	30.5	#FEFEFF
28	#FFECE5	16	15.5	16.5	#FFECE5
29	#FFD3C4	7	6.5	7.5	#FFD3C4
30	#F9F5FF	23	22.5	23.5	#F9F5FF
