group	fill	y	tooltip	ymin	ymax	colour
1	#FFFEFE	-30	0.00357483409096005	-30.5	-29.5	#FFFEFE
2	#FFF9F7	-26	0.0313271020975897	-26.5	-25.5	#FFF9F7
3	#FFEDE6	-17	0.0949160877319014	-17.5	-16.5	#FFEDE6
4	#FFE8E0	-14	0.118745942398162	-14.5	-13.5	#FFE8E0
5	#FFE7DE	-12	0.126625692444345	-12.5	-11.5	#FFE7DE
6	#FFE5DB	-10	0.137521662230928	-10.5	-9.5	#FFE5DB
7	#FFFBFA	-28	0.019274387351191	-28.5	-27.5	#FFFBFA
8	#FFE5DC	-11	0.134757872495943	-11.5	-10.5	#FFE5DC
9	#FFBCA6	-3	0.348052303409258	-3.5	-2.5	#FFBCA6
10	#FFF8F5	-25	0.0371611405775516	-25.5	-24.5	#FFF8F5
11	#F6EFFF	-21	-0.0670860941811266	-21.5	-20.5	#F6EFFF
12	#FFEDE6	-16	0.0950340159116699	-16.5	-15.5	#FFEDE6
13	#FFDFD4	-8	0.165858162925005	-8.5	-7.5	#FFDFD4
14	#FFDED2	-7	0.173630531814531	-7.5	-6.5	#FFDED2
15	#FFF5F1	-24	0.0524485294004978	-24.5	-23.5	#FFF5F1
16	#F7F1FF	-22	-0.0587364612493111	-22.5	-21.5	#F7F1FF
17	#FBF8FF	-27	-0.0275491618418761	-27.5	-26.5	#FBF8FF
18	#F5ECFF	-19	-0.0786445276754525	-19.5	-18.5	#F5ECFF
19	#FFEFE9	-18	0.083137213851499	-18.5	-17.5	#FFEFE9
20	#FF0000	-1	1	-1.5	-0.5	#FF0000
21	#FFE4DA	-9	0.14107694837388	-9.5	-8.5	#FFE4DA
22	#FFF5F1	-23	0.0543199535370849	-23.5	-22.5	#FFF5F1
23	#FFD1C2	-5	0.238634023009278	-5.5	-4.5	#FFD1C2
24	#FDFCFF	-29	-0.0136591663430644	-29.5	-28.5	#FDFCFF
25	#FFC6B2	-4	0.299673214757128	-4.5	-3.5	#FFC6B2
26	#FFFFFF	-31	0.001206675374089	-31.5	-30.5	#FFFFFF
27	#EEE2FF	-13	-0.124232389700092	-13.5	-12.5	#EEE2FF
28	#FFF0EB	-20	0.0777954113569163	-20.5	-19.5	#FFF0EB
29	#FFB8A2	-2	0.36730455759758	-2.5	-1.5	#FFB8A2
30	#FFDDD1	-6	0.176716519643176	-6.5	-5.5	#FFDDD1
31	#F2E8FF	-15	-0.0972282802414153	-15.5	-14.5	#F2E8FF
