group	x
800	10
801	3
802	2
803	21
804	4
805	6
806	4
807	0
808	9
809	1
810	12
811	25
812	0
813	0
814	1
815	12
816	1
817	2
818	1
819	9
820	2
821	5
822	3
823	4
824	3
825	1
826	4
827	12
828	1
829	32
830	22
831	15
832	7
833	6
834	4
835	1
836	6
837	1
838	0
839	7
840	3
841	0
842	4
843	12
844	4
845	6
846	26
847	33
848	3
849	1
850	1
851	1
852	11
853	4
854	4
855	10
856	1
857	0
858	6
859	7
860	1
861	0
862	1
863	6
864	4
865	22
866	4
867	0
868	27
869	4
870	0
871	13
872	0
873	25
874	1
875	3
876	4
877	0
878	6
879	3
880	2
881	4
882	3
883	5
884	5
885	9
886	6
887	3
888	2
889	3
890	12
891	3
892	1
893	3
894	0
895	5
896	2
897	2
898	1
899	4
900	4
901	3
902	1
903	7
904	2
905	17
906	6
907	3
908	1
909	15
910	32
911	2
912	2
913	16
914	13
915	5
916	1
917	7
918	5
919	6
920	13
921	5
922	9
923	3
924	3
925	2
926	0
927	0
928	2
929	2
930	10
931	6
932	18
933	7
934	2
935	1
936	8
937	6
938	15
939	4
940	5
941	3
942	3
943	4
944	0
945	7
946	15
947	3
948	18
949	18
950	6
951	8
952	6
953	0
954	8
955	3
956	5
957	1
958	10
959	2
960	11
961	4
962	2
963	33
964	20
965	1
966	1
967	1
968	9
969	4
970	12
971	9
972	18
973	2
974	11
975	23
976	14
977	7
978	5
979	5
980	1
981	12
982	12
983	7
984	3
985	18
986	7
987	22
988	5
989	3
990	5
991	7
992	4
993	11
994	1
995	6
996	2
997	3
998	1
999	4
1000	5
1001	7
1002	2
1003	17
1004	1
1005	79
1006	57
1007	5
1008	13
1009	1
1010	1
1011	6
1012	2
1013	5
1014	1
1015	16
1016	1
1017	6
1018	2
1019	9
1020	5
1021	7
1022	8
1023	4
1024	4
1025	12
1026	5
1027	2
1028	3
1029	8
1030	4
1031	6
1032	1
1033	4
1034	1
1035	0
1036	2
1037	3
1038	5
1039	12
1040	5
1041	2
1042	0
1043	28
1044	19
1045	13
1046	4
1047	28
1048	4
1049	4
1050	0
1051	21
1052	3
1053	117
1054	59
1055	5
1056	3
1057	3
1058	15
1059	2
1060	0
1061	5
1062	2
1063	10
1064	19
1065	12
1066	40
1067	11
1068	5
1069	4
1070	12
1071	3
1072	20
1073	4
1074	1
1075	11
1076	7
1077	1
1078	50
1079	7
1080	15
1081	6
1082	9
1083	12
1084	14
1085	7
1086	5
1087	3
1088	5
1089	1
1090	2
1091	3
1092	2
1093	0
1094	4
1095	1
1096	21
1097	50
1098	0
1099	0
1100	0
1101	3
1102	7
1103	1
1104	0
1105	3
1106	8
1107	4
1108	3
1109	4
1110	0
