group	fill	y	ymin	ymax	colour
1	#FFFBF9	24	23.5	24.5	#FFFBF9
2	#F9F5FF	19	18.5	19.5	#F9F5FF
3	#F7F0FF	17	16.5	17.5	#F7F0FF
4	#F6EFFF	15	14.5	15.5	#F6EFFF
5	#FCFAFF	25	24.5	25.5	#FCFAFF
6	#FFE4DB	8	7.5	8.5	#FFE4DB
7	#FFBBA5	3	2.5	3.5	#FFBBA5
8	#FFEDE6	11	10.5	11.5	#FFEDE6
9	#FFDDD1	5	4.5	5.5	#FFDDD1
10	#FFEAE3	9	8.5	9.5	#FFEAE3
11	#FF0000	1	0.5	1.5	#FF0000
12	#FFECE6	10	9.5	10.5	#FFECE6
13	#FBF7FF	20	19.5	20.5	#FBF7FF
14	#FFE1D6	6	5.5	6.5	#FFE1D6
15	#FDFBFF	26	25.5	26.5	#FDFBFF
16	#FFFCFB	27	26.5	27.5	#FFFCFB
17	#FCF9FF	21	20.5	21.5	#FCF9FF
18	#FFFEFD	30	29.5	30.5	#FFFEFD
19	#FFFDFC	28	27.5	28.5	#FFFDFC
20	#FFFBF9	23	22.5	23.5	#FFFBF9
21	#FFE2D8	7	6.5	7.5	#FFE2D8
22	#F5EDFF	13	12.5	13.5	#F5EDFF
23	#FEFDFF	29	28.5	29.5	#FEFDFF
24	#FCF9FF	22	21.5	22.5	#FCF9FF
25	#FFF1EB	14	13.5	14.5	#FFF1EB
26	#F9F4FF	18	17.5	18.5	#F9F4FF
27	#F3EAFF	12	11.5	12.5	#F3EAFF
28	#FFD9CB	4	3.5	4.5	#FFD9CB
29	#FFF3EE	16	15.5	16.5	#FFF3EE
30	#FFAA90	2	1.5	2.5	#FFAA90
